quiz_id,full_title,source_url,source_type,current_week_number,current_domain_id,current_lesson_id,current_lesson_title,current_status,actual_question_count,stored_question_count,creation_date,exists_in_current_seed_files,appears_examcompass_import,authoring_provenance,same_or_similar_title,heavy_question_overlap,quality_score,classification,recommended_week,recommended_module,recommended_lesson,required_or_optional,recommended_difficulty,recommended_purpose,prerequisite_weeks,normal_weekly_checklist
67,Connector Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-connector-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,12,12,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,44,MERGE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
68,RAM Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-ram-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,17,17,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,61,REMEDIATION,2,MOD-002,Hardware That Generates Tickets,Optional,2,Remediation,0-1,No
69,Storage Devices Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-storage-devices-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,7,7,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#65 Display Devices Quiz (0.75),No heavy overlap found,61,REMEDIATION,2,MOD-002,Hardware That Generates Tickets,Optional,2,Remediation,0-1,No
70,Motherboard Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-motherboard-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,20,20,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
71,BIOS Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-bios-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,7,7,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,57,KEEP_WITH_EDITS,2,MOD-002,BIOS/UEFI and Boot Order,Optional,2,Practice,0-1,No
72,CPU Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-cpu-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,11,11,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,61,REMEDIATION,2,MOD-002,Hardware That Generates Tickets,Optional,2,Remediation,0-1,No
73,Power Supply Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-power-supply-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,12,12,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,57,KEEP_WITH_EDITS,2,MOD-002,"RAM, CPU, Power, and POST",Optional,2,Practice,0-1,No
74,Multifunction Devices Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-multifunction-devices-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,8,8,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
75,Printer Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-printer-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,21,21,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
76,Virtualization Concepts Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-virtualization-concepts-quiz,ExamCompass web import (bookmarklet/import route),4,1101-4.0,NULL,Unlinked,published,6,6,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,21,MOD-021,Cloud Concepts That Matter on the Job,Optional,3,Practice,1-20,No
77,Cloud Computing Concepts Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-cloud-computing-concepts-quiz,ExamCompass web import (bookmarklet/import route),4,1101-4.0,NULL,Unlinked,published,25,25,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,56,KEEP_WITH_EDITS,21,MOD-021,Cloud Concepts That Matter on the Job,Optional,3,Practice,1-20,No
78,Core PC Hardware Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-core-pc-hardware-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),5,1101-5.0,NULL,Unlinked,published,19,19,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#79 Storage and RAID Troubleshooting Quiz (0.76),No heavy overlap found,67,KEEP_WITH_EDITS,2,MOD-002,Hardware That Generates Tickets,Required after edits,3,Weekly assessment,0-1,Yes
79,Storage and RAID Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-storage-and-raid-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),5,1101-5.0,NULL,Unlinked,published,18,18,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#78 Core PC Hardware Troubleshooting Quiz (0.76),No heavy overlap found,57,KEEP_WITH_EDITS,2,MOD-002,Storage: Symptoms Before Specs,Optional,3,Practice,0-1,No
80,Display Devices Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-display-devices-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),5,1101-5.0,NULL,Unlinked,published,22,22,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#81 Mobile Devices Troubleshooting Quiz (0.87),No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
81,Mobile Devices Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-mobile-devices-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),5,1101-5.0,NULL,Unlinked,published,30,30,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#80 Display Devices Troubleshooting Quiz (0.87),No heavy overlap found,36,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
82,Network Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-network-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),5,1101-5.0,NULL,Unlinked,published,14,14,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#83 Printer Troubleshooting Quiz (0.86),No heavy overlap found,67,KEEP_WITH_EDITS,8,MOD-008,The Client-Side Network Triage Tree,Optional,3,Practice,1-7,No
83,Printer Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-printer-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),5,1101-5.0,NULL,Unlinked,published,20,20,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#82 Network Troubleshooting Quiz (0.79),No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
84,Common OS Types Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-common-os-types-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,10,10,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,39,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
85,Filesystem Types Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-filesystem-types-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,8,8,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,61,REMEDIATION,18,MOD-018,The Linux Filesystem and Navigation,Optional,2,Remediation,1-17,No
86,OS Boot Methods Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-os-boot-methods-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,12,12,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,5,MOD-005,Startup Failures and Recovery Options,Optional,3,Practice,1-4,No
87,OS Installation Methods Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-os-installation-methods-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,8,8,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,54,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
88,Microsoft Windows Editions Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-microsoft-windows-editions-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,14,14,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#94 Microsoft Windows Settings Quiz (0.90),No heavy overlap found,48,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
89,MS Windows Basic Features Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-ms-windows-basic-features-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,8,8,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap; q1233 near q764 in #55,51,REMEDIATION,3,MOD-003,Windows 11 as Your Workbench,Optional,2,Remediation,1-2,No
90,Windows Task Manager Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-windows-task-manager-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,7,7,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,3,MOD-003,The Investigator's Toolkit,Optional,2,Practice,1-2,No
91,Windows MMC Snap-ins Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-windows-mmc-snap-ins-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,7,7,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,51,REMEDIATION,13,MOD-013,Windows Server and Server Manager,Optional,2,Remediation,1-12,No
92,Windows Additional Admin Tools Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-windows-additional-admin-tools-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,8,8,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,57,KEEP_WITH_EDITS,3,MOD-003,The Investigator's Toolkit,Optional,2,Practice,1-2,No
93,Microsoft Command-Line Tools Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-microsoft-command-line-tools-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,9,9,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,3,MOD-003,Command-Line Diagnostics,Optional,2,Practice,1-2,No
94,Microsoft Windows Settings Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-microsoft-windows-settings-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,6,6,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#88 Microsoft Windows Editions Quiz (0.90),No heavy overlap found,61,REMEDIATION,3,MOD-003,Windows 11 as Your Workbench,Optional,2,Remediation,1-2,No
95,Windows Networking Features Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-windows-networking-features-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,5,5,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,58,MERGE,8,MOD-008,The Client-Side Network Triage Tree,Optional,3,Practice,1-7,No
96,macOS Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-macos-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,9,9,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,54,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
97,Linux Command Line Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-linux-command-line-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,10,10,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,18,MOD-018,The Linux Filesystem and Navigation,Optional,3,Practice,1-17,No
98,Linux OS Features & Tools Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-linux-os-features-and-tools-quiz,ExamCompass web import (bookmarklet/import route),6,1102-1.0,NULL,Unlinked,published,5,5,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,65,REMEDIATION,18,MOD-018,The Linux Filesystem and Navigation,Optional,2,Remediation,1-17,No
99,Physical Security Concepts Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-physical-security-concepts-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,8,8,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#100 Logical Security Concepts Quiz (0.89),No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
100,Logical Security Concepts Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-logical-security-concepts-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,11,11,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#99 Physical Security Concepts Quiz (0.89),No heavy overlap found,65,KEEP_WITH_EDITS,7,MOD-007,Malware Response and Phishing Triage,Optional,3,Practice,1-6,No
101,Windows OS Security Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-windows-os-security-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,4,4,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#104 Wireless Security Quiz (0.78),No heavy overlap found,61,REMEDIATION,7,MOD-007,Defender and the Windows Firewall,Optional,2,Remediation,1-6,No
102,NTFS & Share Permissions Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-ntfs-and-share-permissions-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,11,11,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,6,MOD-006,"NTFS vs Share Permissions, For Real",Optional,3,Practice,1-5,No
103,Active Directory Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-active-directory-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,5,5,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#15 Active Directory Foundations (0.78),No heavy overlap found,65,REMEDIATION,13,MOD-013,"Active Directory: Domains, OUs, Users, and Groups",Optional,2,Remediation,1-12,No
104,Wireless Security Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-wireless-security-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,4,4,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#101 Windows OS Security Quiz (0.78),No heavy overlap found,58,MERGE,11,MOD-011,"DHCP Relay, NAT, Firewall, VPN, and Wireless — Awareness",Optional,3,Certification practice,8-10,No
